Product ID,Product Name,Description,Category,Price
1,Smartphone,"Sleek design, 64gb storage, 12mp camera",Electronics,699.99
2,Laptop,"15.6 inch, 8gb ram, 256gb ssd",Electronics,999.99
3,Casual Shoes,"Leather, Size 10, Brown",Fashion,79.99
4,Travel Mug,"Stainless steel, 500ml",Home & Kitchen,14.99
5,Eau De Parfum,"Floral scent, 100ml",Beauty,49.99
6,Backpack,"Polyester, 20l capacity, Black",Fashion,39.99
7,Bluetooth Speaker,"10w output, Waterproof",Electronics,59.99
8,Sunglasses,"Uv protection, Round frame",Fashion,89.99
9,Cookware Set,"Non-stick, 5 pieces",Home & Kitchen,119.99
10,Wrist Watch,"Analog, Leather strap, Water-resistant",Fashion,199.99
11,Running Sneakers,"Breathable material, Size 9, White",Fashion,109.99
12,LED Desk Lamp,"Adjustable brightness, Touch control",Home & Kitchen,24.99
13,Wireless Headphones,"Over-ear, Noise-cancelling",Electronics,129.99
14,Fantasy Novel,"Bestselling author, 400 pages",Books,19.99
15,Organic Green Tea,"100 bags, Antioxidant-rich",Grocery,9.99
16,Gaming Console,"4k support, Includes 2 controllers",Electronics,399.99
17,Kitchen Mixer,"5-speed, Stainless steel attachments",Home & Kitchen,69.99
18,Jeans,"Slim fit, Blue, Size 32",Fashion,49.99
19,Digital Camera,"20mp, 5x zoom, Compact",Electronics,249.99
20,Yoga Mat,"Eco-friendly material, 6mm thickness",Sports,29.99
21,Board Game,"Strategy game, 2-6 players",Toys & Games,34.99
22,Hair Dryer,"Ionic, 3 heat settings",Beauty,39.99
23,Plant Pot,"Ceramic, 8-inch diameter, White",Home & Kitchen,14.99
24,Sci-fi Movie,"Blu-ray, Director's cut edition",Movies & TV,24.99
25,Acoustic Guitar,"Full size, Spruce top",Musical Instruments,199.99
26,Chocolate Box,"Dark chocolate, 24 pieces",Grocery,14.99
27,Hybrid Bike,"21-speed, Aluminum frame",Sports,299.99
28,Wall Clock,"Fluorescent numbers, Non-ticking",Home & Kitchen,19.99
29,Sketchbook,"200 pages, Acid-free paper",Arts & Crafts,2.99
30,Outdoor Grill,"Propane, 3 burners",Home & Kitchen,159.99
31,Vitamin Supplements,"Multivitamin, 60 capsules",Health & Personal Care,70.99
33,Classic Novels Set,"The little prince, The old man and the sea, Animal farm",Books,44.99
34,Hand Cream,"Moisturizing, 150ml",Beauty,130.99
35,Sandals,"Leather, Size 7",Fashion,49.99
36,Stationery Set,"Notebooks, Pens, And markers",Arts & Crafts,12.99
37,Earbuds,"Wired, With microphone",Electronics,31.99
39,Pet Food,"For adult dogs, Chicken flavor",Pets,54.99
40,Portable Charger,"10000mah, 2 usb ports",Electronics,24.99
